iter	Passed	Remaining
735	10922	46940
736	10935	46917
737	10948	46892
738	10962	46875
739	10976	46856
740	10997	46868
741	11014	46861
742	11027	46842
743	11041	46821
744	11054	46800
745	11072	46796
746	11086	46779
747	11099	46756
748	11112	46735
749	11126	46715
750	11145	46718
751	11163	46718
752	11180	46711
753	11194	46691
754	11207	46670
755	11226	46671
756	11240	46653
757	11253	46632
758	11268	46616
759	11281	46597
760	11301	46601
761	11314	46578
762	11328	46560
763	11342	46541
764	11354	46518
765	11373	46520
766	11387	46499
767	11400	46476
768	11413	46454
769	11426	46433
770	11446	46440
771	11461	46426
772	11474	46403
773	11488	46385
774	11503	46372
775	11522	46371
776	11534	46346
777	11548	46325
778	11561	46304
779	11575	46287
780	11594	46288
781	11607	46267
782	11621	46249
783	11635	46229
784	11650	46214
785	11667	46208
786	11680	46187
787	11694	46167
788	11707	46146
789	11721	46130
790	11740	46129
791	11755	46114
792	11769	46099
793	11784	46085
794	11800	46074
795	11823	46089
796	11840	46085
797	11858	46081
798	11875	46076
799	11893	46074
800	11916	46089
801	11932	46078
802	11946	46059
803	11960	46040
804	11973	46020
805	11991	46016
806	12005	46000
807	12022	45993
808	12036	45974
809	12049	45951
810	12067	45949
811	12081	45931
812	12096	45915
813	12110	45896
814	12124	45879
815	12142	45875
816	12154	45851
817	12168	45833
818	12185	45825
819	12197	45801
820	12214	45794
821	12229	45778
822	12242	45757
823	12255	45736
824	12268	45713
825	12286	45708
826	12299	45688
827	12312	45665
828	12325	45644
829	12337	45620
830	12355	45615
831	12369	45599
832	12382	45576
833	12394	45550
834	12407	45527
835	12423	45517
836	12436	45498
837	12450	45478
838	12463	45455
839	12476	45436
840	12496	45437
841	12510	45422
842	12525	45405
843	12541	45394
844	12558	45387
845	12576	45387
846	12590	45366
847	12604	45350
848	12618	45332
849	12633	45316
850	12652	45317
851	12666	45300
852	12680	45279
853	12693	45260
854	12708	45243
855	12724	45235
856	12737	45213
857	12751	45195
858	12765	45175
859	12779	45159
860	12798	45159
861	12811	45138
862	12825	45119
863	12838	45099
864	12851	45077
865	12869	45072
866	12882	45051
867	12895	45030
868	12909	45013
869	12922	44991
870	12939	44984
871	12953	44965
872	12967	44947
873	12981	44930
874	12994	44910
875	13012	44904
876	13025	44883
877	13038	44862
878	13051	44841
879	13065	44824
880	13083	44818
881	13097	44803
882	13112	44787
883	13127	44772
884	13142	44759
885	13164	44767
886	13178	44751
887	13193	44736
888	13207	44718
889	13222	44704
890	13242	44705
891	13256	44688
892	13270	44671
893	13284	44653
894	13300	44642
895	13319	44641
896	13334	44627
897	13349	44612
898	13364	44597
899	13377	44576
900	13395	44571
901	13410	44557
902	13424	44539
903	13437	44520
904	13452	44505
905	13470	44500
906	13483	44479
907	13497	44460
908	13513	44451
909	13529	44439
910	13548	44437
911	13563	44422
912	13577	44405
913	13592	44390
914	13604	44368
915	13622	44361
916	13635	44342
917	13648	44322
918	13662	44302
919	13677	44287
920	13695	44284
921	13709	44266
922	13722	44245
923	13735	44222
924	13747	44199
925	13764	44191
926	13776	44169
927	13790	44150
928	13803	44128
929	13816	44107
930	13834	44104
931	13848	44086
932	13861	44064
933	13874	44045
934	13888	44025
935	13907	44025
936	13921	44009
937	13937	43995
938	13951	43979
939	13965	43962
940	13983	43956
941	13996	43935
942	14009	43916
943	14023	43899
944	14037	43881
945	14055	43874
946	14069	43857
947	14084	43843
948	14097	43822
949	14111	43803
950	14129	43800
951	14144	43784
952	14158	43767
953	14171	43748
954	14184	43727
955	14201	43719
956	14214	43699
957	14229	43682
958	14242	43663
959	14254	43641
960	14272	43634
961	14286	43618
962	14300	43600
963	14314	43582
964	14328	43563
965	14347	43561
966	14362	43546
967	14377	43532
968	14391	43517
969	14406	43501
970	14423	43494
971	14438	43478
972	14452	43461
973	14465	43442
974	14478	43421
975	14495	43411
976	14507	43390
977	14521	43370
978	14536	43356
979	14551	43342
980	14569	43337
981	14584	43323
982	14598	43304
983	14612	43288
984	14626	43271
985	14643	43263
986	14658	43248
987	14671	43228
988	14685	43210
989	14699	43191
990	14717	43187
991	14732	43173
992	14747	43158
993	14761	43140
994	14774	43120
995	14791	43111
996	14805	43093
997	14819	43076
998	14833	43060
999	14846	43041
1000	14865	43035
1001	14877	43014
1002	14890	42994
1003	14904	42976
1004	14917	42955
1005	14935	42949
1006	14948	42929
1007	14963	42915
1008	14976	42895
1009	14989	42874
1010	15006	42868
1011	15021	42852
1012	15035	42836
1013	15049	42817
1014	15063	42800
1015	15080	42793
1016	15094	42775
1017	15108	42758
1018	15123	42743
1019	15138	42728
1020	15157	42726
1021	15173	42714
1022	15187	42697
1023	15200	42677
1024	15216	42665
1025	15235	42661
1026	15252	42654
1027	15266	42637
1028	15280	42617
1029	15293	42599
1030	15313	42598
1031	15327	42581
1032	15343	42569
1033	15357	42551
1034	15370	42531
1035	15387	42524
1036	15403	42511
1037	15418	42497
1038	15433	42482
1039	15448	42467
1040	15465	42459
