iter	R2	RMSE
1700	0.4511000195	1.788326514
1705	0.4513118655	1.78798131
1710	0.4515138031	1.787651405
1715	0.4518186939	1.787155885
1720	0.452092074	1.786709573
1725	0.4523464527	1.786295589
1730	0.4526474693	1.785803648
1735	0.4529403852	1.785325126
1740	0.4531713292	1.784949442
1745	0.453426673	1.784532118
1750	0.4536740807	1.784127893
1755	0.4538989182	1.78376127
1760	0.4541239489	1.783393471
1765	0.4543632866	1.783002781
1770	0.4546062889	1.782605107
1775	0.4548671632	1.782179674
1780	0.4550746295	1.781839299
1785	0.4553429656	1.781401421
1790	0.4555729041	1.781024027
1795	0.4558739113	1.780532246
1800	0.4561269966	1.78011881
1805	0.4563800542	1.779703146
1810	0.4566442739	1.779271358
1815	0.45690065	1.778852187
1820	0.4571659411	1.778417987
1825	0.4573610126	1.778097637
1830	0.4576186323	1.777674363
1835	0.4578872168	1.777234722
1840	0.4581703653	1.77677112
1845	0.458462451	1.776292816
1850	0.4587080538	1.775889809
1855	0.4590108416	1.775392553
1860	0.4592565686	1.774989564
1865	0.4594541269	1.774666531
1870	0.4597379511	1.774198719
1875	0.4600202839	1.773736683
1880	0.4602409878	1.773373001
1885	0.4605028022	1.772942992
1890	0.4607242973	1.772578926
1895	0.461035594	1.772067159
1900	0.4612944013	1.771641706
1905	0.4614965729	1.771308463
1910	0.461696338	1.770981066
1915	0.4619744004	1.77052314
1920	0.4622551267	1.770061253
1925	0.4625168229	1.769630809
1930	0.4627931784	1.769174308
1935	0.4630875235	1.768691583
1940	0.4633773819	1.768213682
1945	0.4636055198	1.767838061
1950	0.4638230143	1.767477902
1955	0.4640978234	1.767026101
1960	0.4643610157	1.766591363
1965	0.4645649905	1.766255538
1970	0.4648503448	1.765783719
1975	0.4651152137	1.765348305
1980	0.4653227701	1.765004461
1985	0.4656141939	1.764523783
1990	0.4658869678	1.764073227
1995	0.4661355198	1.763663053
2000	0.4663801667	1.763258495
2005	0.4666347141	1.762837817
2010	0.4669285066	1.762352688
2015	0.4671379302	1.762005959
2020	0.4673924512	1.761585055
2025	0.4676494476	1.761160041
2030	0.4679060115	1.76073641
2035	0.468172535	1.76029514
2040	0.4684208041	1.759884977
2045	0.4686299973	1.759537315
2050	0.468887743	1.759110541
2055	0.4691150085	1.758735951
2060	0.4693413726	1.758360166
2065	0.469581634	1.757961903
2070	0.4697940241	1.75760999
2075	0.4700194794	1.757235453
2080	0.4702841822	1.756796803
2085	0.4704657824	1.756496191
2090	0.4706642627	1.756166256
2095	0.4708502681	1.755858162
2100	0.4710534253	1.755521401
2105	0.4712662192	1.755167434
2110	0.4714546818	1.754855213
2115	0.4716822552	1.754477404
2120	0.4719510039	1.754030979
2125	0.4721707236	1.753665374
2130	0.4723743514	1.753328043
2135	0.4726405998	1.752884385
2140	0.472968594	1.752340068
2145	0.473215275	1.751929461
2150	0.4734468244	1.751544225
2155	0.4737302972	1.751073148
2160	0.4739307911	1.750739427
2165	0.4741633625	1.75035206
2170	0.4744249325	1.749916468
2175	0.4746662456	1.749515536
2180	0.4749303182	1.74907652
2185	0.4752202464	1.748592286
2190	0.4755006642	1.748124979
2195	0.4757172471	1.747764575
2200	0.4759007146	1.747457768
2205	0.4761155148	1.747100446
2210	0.4763295676	1.746742526
2215	0.4765836347	1.746319442
2220	0.4767745419	1.746001894
2225	0.4770345708	1.74556769
2230	0.4772479101	1.74521058
2235	0.4774673036	1.744845151
2240	0.477689499	1.744474996
2245	0.4779327747	1.744066962
2250	0.4781826713	1.743650581
2255	0.4784142681	1.743263365
2260	0.4786217	1.742917566
2265	0.4788893979	1.742469906
2270	0.4792015218	1.741947567
2275	0.4794721225	1.741495226
2280	0.4797068501	1.741102046
2285	0.4799579786	1.740681724
2290	0.4801753877	1.740318275
2295	0.4803698974	1.739992941
2300	0.4806121746	1.739586412
2305	0.4808466902	1.739193779
2310	0.4810820512	1.738799175
2315	0.481302318	1.738429464
2320	0.4815431614	1.738025956
2325	0.4817804924	1.737628754
2330	0.4820058829	1.737251565
2335	0.4822949791	1.736766896
2340	0.4825138554	1.736398861
2345	0.4827267661	1.736040694
2350	0.4829663883	1.735640476
2355	0.4831805368	1.735280494
2360	0.4834277052	1.734864492
2365	0.4836586926	1.734478029
2370	0.4838856402	1.734096081
2375	0.4841264054	1.733690962
2380	0.4843706346	1.73328122
2385	0.4846041655	1.732887912
2390	0.4848985939	1.732392962
2395	0.4851101363	1.732037893
2400	0.4853478623	1.731638336
2405	0.4856095187	1.73119796
2410	0.4858215887	1.730840682
2415	0.4860168758	1.730511449
2420	0.4862369462	1.730141176
2425	0.4864660213	1.729755699
2430	0.4866766713	1.729400241
2435	0.4869237211	1.728984186
2440	0.4871836545	1.728546842
2445	0.4874013256	1.728179101
2450	0.4876288182	1.72779629
2455	0.4878481393	1.727427026
2460	0.4881116364	1.726981941
2465	0.488338291	1.726599395
2470	0.4886206966	1.726121284
2475	0.4888708536	1.725700649
2480	0.4890995612	1.725315317
2485	0.4892984217	1.724978888
2490	0.489517208	1.724609323
2495	0.4897511148	1.724214189
2500	0.4899732891	1.723839073
2505	0.4902033236	1.723450593
2510	0.4903856431	1.723141583
2515	0.4905867152	1.722801464
2520	0.4908190116	1.72240994
2525	0.4910369925	1.722039217
2530	0.4912785452	1.721631564
2535	0.4914929658	1.721268196
2540	0.4917136277	1.720894947
2545	0.4919355131	1.720519487
2550	0.4921789204	1.720108128
2555	0.4923958351	1.719739875
2560	0.4926311207	1.719341796
2565	0.4928365303	1.718993315
2570	0.493041532	1.718644917
2575	0.4932436797	1.718303298
2580	0.4934528	1.717949277
2585	0.4936453643	1.717621914
2590	0.4938751088	1.717232256
2595	0.4940706733	1.716899957
2600	0.4942929088	1.716522099
2605	0.4945338139	1.716113517
2610	0.4947351242	1.715772463
2615	0.4949560351	1.715397559
2620	0.495206718	1.714971853
2625	0.4954511024	1.714556035
2630	0.4956404664	1.714234739
2635	0.4958822876	1.713824391
2640	0.4961528155	1.71336371
2645	0.4963791104	1.71297881
2650	0.4965990675	1.712603907
2655	0.4968207927	1.712227699
2660	0.4970548057	1.711829706
2665	0.4972903089	1.71142887
2670	0.497545971	1.710993308
2675	0.4977828453	1.710589523
2680	0.4980444233	1.710143957
2685	0.4983001128	1.709708986
2690	0.4984969459	1.70937331
2695	0.4987251124	1.708985675
2700	0.4989104014	1.708668461
2705	0.4992053017	1.70816588
2710	0.4994357613	1.707772763
2715	0.4996185345	1.707461069
2720	0.4997834259	1.707179431
2725	0.5000356309	1.706749069
2730	0.5002618858	1.706362371
2735	0.5004941306	1.705965157
2740	0.5006893847	1.70563304
2745	0.5008921298	1.705286898
2750	0.5011355252	1.704870482
2755	0.5013652599	1.704477756
2760	0.5015372991	1.704184649
2765	0.5017740977	1.703777254
2770	0.5019824458	1.703423055
2775	0.5021853593	1.703076387
2780	0.5024334937	1.702650442
2785	0.5027196782	1.702160609
2790	0.5029649807	1.701741661
2795	0.5031799453	1.701372815
2800	0.5033770605	1.701035649
2805	0.5035666416	1.700711106
2810	0.5038408136	1.700242794
2815	0.5040646068	1.699857617
2820	0.5042865878	1.699477356
2825	0.5044890772	1.699130037
2830	0.5046627074	1.698833081
2835	0.5049086068	1.698411463
2840	0.5051854769	1.697937202
2845	0.5053955031	1.697575928
2850	0.5055850526	1.69725057
2855	0.5057719919	1.696928464
2860	0.5059725842	1.696585018
2865	0.5061888389	1.696214202
2870	0.5063606245	1.695918587
2875	0.5065462684	1.695599622
2880	0.5068247764	1.695121178
2885	0.5070099196	1.694803839
2890	0.507221288	1.694439427
2895	0.5074378064	1.694066521
2900	0.5076455667	1.693709828
2905	0.5079222087	1.693234326
2910	0.5081204473	1.69289268
2915	0.5083136237	1.692559466
2920	0.5084888666	1.692259579
2925	0.5086812605	1.691928405
2930	0.5088823192	1.691581392
2935	0.5090586727	1.691277928
2940	0.5092458116	1.690955536
2945	0.5094833683	1.690545959
2950	0.5096953296	1.690180087
2955	0.5098970373	1.689832869
2960	0.5100843315	1.68951113
2965	0.5103003964	1.689138529
2970	0.5105500681	1.688707907
2975	0.5107423197	1.688375882
2980	0.5109714876	1.687980635
2985	0.5111527174	1.687667766
2990	0.5113953554	1.687248863
2995	0.5116296685	1.686843039
3000	0.5118065944	1.686537094
3005	0.5120301116	1.68615251
3010	0.512252983	1.685765743
3015	0.5124443574	1.68543601
3020	0.5126632427	1.685057074
3025	0.5128942518	1.684656934
3030	0.5130634809	1.684365813
3035	0.5132700556	1.684008619
3040	0.5134864772	1.683634024
3045	0.5137533017	1.683172618
3050	0.5139038108	1.682911632
3055	0.5141173433	1.682541535
3060	0.5143208687	1.68218893
3065	0.5145222053	1.681840996
3070	0.5146988734	1.681534141
3075	0.5149183004	1.681153937
3080	0.5151026204	1.680834272
3085	0.5153577638	1.680393816
3090	0.5155559707	1.680047222
3095	0.5157468215	1.679717768
3100	0.5159481625	1.679368777
3105	0.5161473727	1.67902314
3110	0.516334138	1.678698862
3115	0.5165367678	1.678347398
3120	0.5167193769	1.678030004
3125	0.5168829017	1.677745531
3130	0.5170340383	1.677484714
3135	0.5172404975	1.677124963
3140	0.5174269144	1.676801019
3145	0.5175817444	1.676532332
3150	0.517772403	1.676200469
3155	0.5180105848	1.675787286
3160	0.5181737245	1.675503837
3165	0.5183734224	1.675155607
3170	0.5185673301	1.674818865
3175	0.5187609918	1.674483538
3180	0.5189390243	1.674172522
3185	0.5191276824	1.673844803
3190	0.5193306855	1.673491226
3195	0.519527553	1.673147581
3200	0.5196983075	1.672850704
3205	0.519916402	1.672470247
3210	0.520128968	1.672100185
3215	0.5203731338	1.671674799
3220	0.5205865846	1.671302527
3225	0.5208208876	1.670894004
3230	0.5209966694	1.670586782
3235	0.5211910871	1.6702481
3240	0.5214306725	1.669831094
3245	0.5216356194	1.669473611
3250	0.5218369834	1.669121851
3255	0.5220272836	1.668790161
3260	0.5221961922	1.668494391
3265	0.5224136838	1.66811639
3270	0.5226385319	1.667722617
3275	0.5228386996	1.667371742
3280	0.5230281602	1.667041666
3285	0.5232666482	1.666625113
3290	0.5234590773	1.666288687
3295	0.5236488297	1.665956905
3300	0.5238555608	1.665595998
3305	0.5240825218	1.665198173
3310	0.5242915992	1.664831995
3315	0.524471839	1.664517761
3320	0.5246955075	1.664126044
3325	0.5249100852	1.66374941
3330	0.5251212183	1.663380239
3335	0.5252902562	1.663084687
3340	0.5254925483	1.662729136
3345	0.5257276371	1.662317404
3350	0.525945235	1.661935952
3355	0.5261556223	1.661566457
3360	0.5263551119	1.661217747
3365	0.5265226227	1.6609237
3370	0.5266955258	1.660620227
3375	0.5268885384	1.660282348
3380	0.5270648288	1.659972454
3385	0.5273102903	1.659541988
3390	0.5275246656	1.659164707
3395	0.5277510714	1.658767941
3400	0.5279345109	1.658445618
3405	0.5281628795	1.658044656
3410	0.5283641622	1.657690707
3415	0.5286116476	1.657255624
3420	0.5287923322	1.656938374
